card_id,domain,domain_int,objective,subobjective,deck_id,deck_name,front,back,explanation,cli_config,cli_verify,common_mistakes,tags,difficulty,version,is_premium,status,card_num,sort_key
D1-001,1.0,1,1.1,1.1.a,D1-network-components,Network Components,What is the role of a router in a network?,To connect different IP networks and forward packets between them.,Routers operate at Layer 3 and make forwarding decisions based on IP addresses and routing tables. They separate broadcast domains and enable inter-network communication.,,,Confusing routers with switches,"router,layer3,ip",1,v1.1,True,published,1,1-001
D1-002,1.0,1,1.1,1.1.b,D1-network-components,Network Components,What is the primary function of a Layer 2 switch?,To forward frames based on MAC addresses.,Layer 2 switches learn MAC addresses and build a CAM table to efficiently forward Ethernet frames within a VLAN.,,show mac address-table,Thinking switches route traffic,"switch,layer2,mac",1,v1.1,True,published,2,1-002
D1-003,1.0,1,1.2,1.2.a,D1-network-topologies,Network Topologies,What is a star topology?,A topology where all devices connect to a central switch.,"Star topologies are common in Ethernet LANs. A single cable failure affects only one device, but central device failure impacts the whole network.",,,Confusing star with mesh,"topology,star,lan",1,v1.1,True,published,3,1-003
D1-004,1.0,1,1.2,1.2.b,D1-network-topologies,Network Topologies,What is a spine-leaf architecture?,A data center topology with leaf switches connected to all spine switches.,Spine-leaf provides predictable latency and high scalability. It is commonly used in modern data centers and cloud environments.,,,Thinking it’s only for WAN,"spine-leaf,datacenter,topology",1,v1.1,True,published,4,1-004
D1-005,1.0,1,1.3,1.3.a,D1-cabling-interfaces,Cabling & Interfaces,What cable type is used for long-distance fiber connections?,Single-mode fiber.,Single-mode fiber supports long distances and high bandwidth using a small core and laser-based light source.,,,Mixing single-mode and multimode,"fiber,cabling,physical",1,v1.1,True,published,5,1-005
D1-006,1.0,1,1.3,1.3.b,D1-cabling-interfaces,Cabling & Interfaces,What is the maximum distance for UTP Ethernet (1000BASE-T)?,100 meters.,Twisted-pair Ethernet standards support up to 100 meters including patch cables and horizontal cabling.,,,Thinking speed changes distance,"ethernet,utp,cabling",1,v1.1,True,published,6,1-006
D1-007,1.0,1,1.5,1.5.a,D1-tcp-vs-udp,TCP vs UDP,What is a key characteristic of TCP?,"Reliable, connection-oriented communication.","TCP provides sequencing, acknowledgments, flow control, and retransmission to ensure reliable delivery.",,,Thinking TCP is faster than UDP,"tcp,transport,reliability",1,v1.1,True,published,7,1-007
D1-008,1.0,1,1.5,1.5.b,D1-tcp-vs-udp,TCP vs UDP,Why is UDP used for voice and video traffic?,It has lower latency and no retransmission overhead.,Real-time applications prefer timely delivery over guaranteed delivery. Lost packets are often better than delayed packets.,,,Assuming UDP is unreliable by design,"udp,latency,voip",1,v1.1,True,published,8,1-008
D1-009,1.0,1,1.6,1.6.a,D1-ipv4-addressing,IPv4 Addressing,What does a /24 subnet mask represent?,255.255.255.0 with 256 total addresses.,"A /24 leaves 8 host bits, allowing 256 addresses, 254 of which are usable for hosts.",,,Forgetting network and broadcast,"subnetting,ipv4,cidr",1,v1.1,True,published,9,1-009
D1-010,1.0,1,1.6,1.6.b,D1-ipv4-subnetting,IPv4 Subnetting,How many usable hosts are in a /26 subnet?,62 usable hosts.,A /26 has 64 total addresses. Subtract network and broadcast to get 62 usable.,,,Using total instead of usable,"subnetting,ipv4",1,v1.1,True,published,10,1-010
